Name,Release Date,Number of Reviews,Summary,Plays,Playing,ratio_confiance,Score,Genre,Platform,Date
Donkey Kong Country: Tropical Freeze,2018-05-04,373.0,"Donkey Kong, Diddy Kong, Dixie Kong and Cranky Kong return for the franchise’s debut on Nintendo Switch. This title includes all the fun and challenge of the original game, plus a new beginner-friendly mode that lets players enjoy this critically acclaimed adventure as groovy surfing simian Funky Kong. Funky Kong can double jump, hover, perform infinite rolls and even perform infinite underwater corkscrews. Thanks to his sturdy surfboard, even spikes can’t slow him down. The game launches for Nintendo Switch on May 4.",2.1K,91,0.432838470994715,3.1,Platform,WIIU,2018
Mario & Luigi: Superstar Saga + Bowser's Minions,2017-10-05,201.0,"""The game that launched the Mario & Luigi series returns looking better than ever before.


              In this renewed classic, Mario and Luigi journey to the Beanbean Kingdom with Bowser to restore Princess Peach’s voice. Control Mario and Luigi simultaneously, making use of their unique Bros. Moves to solve puzzles and emerge victorious in action-packed battles. Pay heed to the enemy’s patterns and time your reactions right to land satisfying counterblows.


              Included in this remake is the Minion Quest: The Search for Bowser mode, which tells the story of the game from the perspective of Bowser’s minions. Recruit characters to grow your own Minion army as you fight to locate your missing leader!""",1.1K,48,0.2332453958979563,1.8,"Adventure,RPG,Platform",3DS,2017
Bayonetta 2,2014-09-20,1100.0,"The witching hour strikes again. Brimming with intricate battles that take place in, on and all over epic set pieces, Bayonetta 2 finds our sassy heroine battling angels and demons in unearthly beautiful HD. You’re bound to love how it feels to string together combos with unimaginable weapons and to summon demons using Bayonetta’s Umbran Weave in this frantic stylized action game.",6K,154,1.0,4.6,Brawler,WIIU,2014
Gorogoa,2017-12-13,386.0,"Gorogoa is a beautiful hand-drawn story suspended inside a completely unique puzzle. Arrange and combine lavishly illustrated panels, each one a separate interactive window into a living game world.",2K,31,0.4479239941124933,3.5,"Adventure,Indie,Puzzle,Point-and-Click",PC,2017
Xenoblade Chronicles 2,2017-12-01,1400.0,"The next adventure is on the Nintendo Switch console set on the backs of colossal, living Titans. Discover each Titan's diverse regions, culture, wildlife, equipment, and hidden secrets. Find, bond with, and command weaponized life forms known as Blades to earn abilities and enhance them. Uncover the history of Alrest and the mystery of its endless ocean of clouds.",7.4K,453,1.0,7.4,"Adventure,RPG",NS,2017
Star Wars Battlefront II,2017-11-17,534.0,"Embark on an endless Star Wars action experience from the best-selling Star Wars HD video game franchise of all time. Experience rich multiplayer battlegrounds across all 3 eras - prequel, classic and new trilogy - or rise as a new hero and discover an emotionally gripping single-player story spanning thirty years.


              Customise and upgrade your heroes, starfighters or troopers - each with unique abilities to exploit in battle. Ride tauntauns or take control of tanks and speeders. Use the Force to prove your worth against iconic characters like Kylo Ren, Darth Maul or Han Solo, as you play a part in a gaming experience inspired by forty years of timeless Star Wars films.",7.8K,128,0.6196668726841228,3.8,"Adventure,Shooter",PS4,2017
Sonic Forces,2017-11-07,650.0,"Fight through a world destroyed by Dr. Eggman and a powerful new villain in Sonic Forces, the new fast-paced action platformer from the team that brought you Sonic Colors and Sonic Generations. Sonic Forces lets you speed through rolling ruined landscapes as Modern Sonic, catapult past perilous platforms as Classic Sonic, and use powerful new gadgets as your own Custom Hero Character.",5K,42,0.7542761558889135,3.3,"Adventure,Platform,Strategy",PS4,2017
Super Mario Odyssey,2017-10-27,2900.0,"Explore incredible places far from the Mushroom Kingdom as you join Mario and his new ally Cappy on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser’s wedding plans!",25K,710,1.0,4.7,"Adventure,Platform",NS,2017
Assassin's Creed Origins,2017-10-26,788.0,"For the last four years, the team behind Assassin’s Creed IV Black Flag has been crafting a new beginning for the Assassin’s Creed franchise.


              Set in Ancient Egypt, players will journey to the most mysterious place in history, during a crucial period that will shape the world and give rise to the Assassin’s Brotherhood. Plunged into a living, systemic and majestic open world, players are going to discover vibrant ecosystems, made of diverse and exotic landscapes that will provide them with infinite opportunities of pure exploration, adventures and challenges.


              Powered by a new fight philosophy, Assassin's Creed Originsembraces a brand new RPG direction where players level up, loot, and choose abilities to shape and customize their very own skilled Assassin as they grow in power and expertise while exploring the entire country of Ancient Egypt.",7.2K,302,0.914414785908406,6.3,"Adventure,RPG",PS4,2017
Destiny 2,2017-09-06,507.0,"Dive into the world of Destiny 2 to explore the mysteries of the solar system and experience responsive first-person shooter combat. Unlock powerful elemental abilities and collect unique gear to customize your Guardian's look and playstyle. Enjoy Destiny 2’s cinematic story, challenging co-op missions, and a variety of PvP modes alone or with friends. Download for free today and write your legend in the stars.",8.7K,524,0.5883354015933525,4.1,"Adventure,RPG,Shooter",PS4,2017
South Park: The Fractured But Whole,2017-10-17,369.0,"Players will once again assume the role of the New Kid, and join South Park favorites Stan, Kyle, Kenny and Cartman in a new hilarious and outrageous adventure. This time, players will delve into the crime-ridden underbelly of South Park with Coon and Friends.


              This dedicated group of crime fighters was formed by Eric Cartman whose superhero alter-ego, The Coon, is half man, half raccoon. As the New Kid, players will join Mysterion, Toolshed, Human Kite, Mosquito, Mint Berry Crunch and a host of others to battle the forces of evil while Coon strives to make his team the most beloved superheroes in history.",3.5K,79,0.4281967715738601,3.3,"Adventure,RPG,Strategy",XONE,2017
The Evil Within 2,2017-10-12,541.0,"The Evil Within 2 is the latest evolution of survival horror. Detective Sebastian Castellanos has lost it all. But when given a chance to save his daughter, he must descend once more into the nightmarish world of STEM.


              Horrifying threats emerge from every corner as the world twists and warps around him. Will Sebastian face adversity head on with weapons and traps, or sneak through the shadows to survive.",2.7K,76,0.6277898466706188,4.8,"Adventure,RPG,Shooter",PC,2017
Stardew Valley,2016-02-26,1700.0,"Stardew Valley is an open-ended country-life RPG! Youâ€™ve inherited your grandfatherâ€™s old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home? It wonâ€™t be easy. Ever since Joja Corporation came to town, the old ways of life have all but disappeared. The community center, once the townâ€™s most vibrant hub of activity, now lies in shambles. But the valley seems full of opportunity. With a little dedication, you might just be the one to restore Stardew Valley to greatness!",20K,2K,1.0,8.6,"RPG,Indie,Simulator,Strategy",PC,2016
Figment,2017-09-22,124.0,"Figment is a surreal and isometric adventure game, wherein the player must journey through the subconscious mind to save it from the fears and nightmares.",183,20,0.1438926820465004,0.9,"Adventure,Indie,Platform,Puzzle,Music",PC,2017
Ruiner,2017-09-26,177.0,"Ruiner is a top-down action shooter created in the spirit of cult cyberpunk anime and game classics. Ruiner is quick and brutal but sophisticated gameplay, original world with mature storyline and unique visual style.",1.1K,38,0.2053951993728272,1.5,"Adventure,Indie,Strategy,Shooter",PC,2017
Metroid: Samus Returns,2017-09-15,674.0,"Metroid: Samus Returns is a remake of Metroid 2: Return of Samus.

              It uses a 3D graphic style with a side view camera that zooms in and changes for cutscenes. It also has new mechanics, items, and abilities.


              ""Brave the hostile terrain of an alien planet teeming with vicious life forms as legendary bounty hunter Samus Aran. Her mission? Terminate the Metroid menace in this masterful reimagining of her 1991 Game Boy adventure. Samus Aran’s arsenal has been enhanced with new moves and abilities that are sure to help her face the deadly surprises that await. This intense, side-scrolling action platformer is a great entry point into the Metroid franchise and perfect for returning fans as well, and it’s available only on the Nintendo 3DS family of systems.""",3.9K,149,0.7821263524140427,6.3,"Adventure,Platform",3DS,2017
Uncharted: The Lost Legacy,2017-08-22,758.0,"From the critically acclaimed developer, Naughty Dog, comes the first standalone adventure in the Uncharted series. Fan-favorite character, Chloe Frazer, must enlist the aid of renowned mercenary Nadine Ross from Uncharted 4: A Thief’s End in order to recover a fabled ancient Indian artifact and keep it out of the hands of a ruthless war profiteer. Together, they’ll venture deep into the mountains of India in search of the legendary artifact. Along the way, they’ll learn to work together to unearth the mystery of the artifact, fight their way through fierce opposition, and prevent the region from falling into chaos.",4.7K,51,0.8796020402519946,7.3,"Adventure,Shooter",PS4,2017
Rez Infinite,2016-10-13,222.0,"The ultimate version of Sega's psychodelic rail-shooter adventure Rez, fully remastered and evolved, including VR support and additional new content, all by members of the original development team",713,20,0.2576143178574443,2.2,"Shooter,Music",PS4,2016
For Honor,2017-02-13,236.0,"Enter the chaos of war as a bold Knight, a brutal Viking, or a deadly Samurai. Play the thrilling story campaign or fight in brutal PvP modes, all on new dedicated servers. Enjoy an evolved experience with 18 Heroes, 18 maps, new PvP and ranked modes, thousands of gear items, and more.",4.1K,56,0.2738602658304363,1.9,"Brawler,Fighting",PC,2017
Pyre,2017-07-25,484.0,"A party-based RPG/visual novel/sports game hybrid wherein the player, dubbed the Reader for their literacy by the group of scavengers who discovers them, is sent in exile to a lawless wasteland called the Downside and has to lead their ever-growing party of misfits to locations wherein many similar parties compete in Rites in order to attain freedom and be absolved of their crimes.",1.8K,74,0.5616456299234371,4.8,"Adventure,RPG,Indie,Visual Novel",PS4,2017
Splatoon 2,2017-07-21,736.0,"Splatoon 2 is a multiplayer third-person shooter in which players control characters known as Inklings and use colored ink to attack opponents and clear goals. Inklings can alternate between humanoid form, during which they can fire ink with their weapons, and squid form, which allows them to swim through ink of their own color in order to move quickly and replenish ink supplies.",8.9K,215,0.8540726934372929,6.7,"Platform,Shooter",NS,2017
Tekken 7,2015-02-18,663.0,"Experience the epic conclusion of the Mishima clan and unravel the reasons behind each step of their ceaseless fight. Powered by Unreal Engine 4, Tekken 7 features stunning story-driven cinematic battles and intense duels that can be enjoyed with friends and rivals alike through innovative fight mechanics.",6.6K,247,0.7693616790066918,6.0,Fighting,XONE,2015
The Elder Scrolls III: Morrowind,2002-05-01,549.0,"First-person WRPG and third mainline entry in the Elder Scrolls franchise in which the player arrives in the island of Vvardenfell, an exotic land plagued by disease-carrying storms and ruled by a godly Tribunal, in the Morrowind province of Tamriel, and takes part in the prophecy foretelling the second coming of Nerevar, who will supposedly save Morrowind from malicious clans both within and outside Vvardenfell.",3.7K,150,0.6370732455123285,5.1,"Adventure,RPG",XBOX,2002
The Elder Scrolls III: Morrowind,2002-05-01,549.0,"First-person WRPG and third mainline entry in the Elder Scrolls franchise in which the player arrives in the island of Vvardenfell, an exotic land plagued by disease-carrying storms and ruled by a godly Tribunal, in the Morrowind province of Tamriel, and takes part in the prophecy foretelling the second coming of Nerevar, who will supposedly save Morrowind from malicious clans both within and outside Vvardenfell.",3.7K,150,0.6370732455123285,5.1,"Adventure,RPG",PC,2002
What Remains of Edith Finch,2017-04-24,1400.0,"What Remains of Edith Finch is a collection of short stories about a cursed family in Washington State.


              Each story offers a chance to experience the life of a different family member with stories ranging from the early 1900s to the present day. The gameplay and tone of the stories are as varied as the family members themselves. The only constants are that each is played from a first-person perspective and that each story ends with that family member's death. It's a game about what it feels like to be humbled and astonished by the vast and unknowable world around us.


              You'll follow Edith Finch as she explores the history of her family and tries to figure out why she's the last Finch left alive.",8.6K,61,1.0,8.5,"Adventure,Indie,Puzzle",PS4,2017
Puyo Puyo Tetris,2014-02-06,233.0,"""Two puzzle game juggernauts collide as Tetris, one of the largest-selling and recognized brands in gaming history, and Puyo Puyo from SEGA have combined to create a fun-to-play, fast-paced, competitive party game like no other! The game has tons of different styles of gameplay – from the single-player Adventure and Challenge modes to the ferocious competition of the up-to-four player Arcade modes. There's plenty of Tetris/Puyo variety, even an in-game Shop where players can unlock new characters, new skins for Puyos and Tetriminos, new backgrounds and more.""",3.1K,51,0.2703789912647951,2.1,"Strategy,Puzzle",NS,2014
Mario Kart 8 Deluxe,2017-04-28,1500.0,"Hit the road with the definitive version of Mario Kart 8 and play anytime, anywhere! Race your friends or battle them in a revised battle mode on new and returning battle courses. Play locally in up to 4-player multiplayer in 1080p while playing in TV Mode. Every track from the Wii U version, including DLC, makes a glorious return. Plus, the Inklings appear as all-new guest characters, along with returning favorites, such as King Boo, Dry Bones, and Bowser Jr.!",19K,705,1.0,8.5,"Arcade,Racing",NS,2017
Rain World,2017-03-28,411.0,"Rain World is a survival platformer set in an abandoned industrial environment ravaged by a shattered ecosystem. Bone-crushingly intense rains pound the surface, making life as we know it almost impossible. The creatures in this world hibernate most of the time, but in the few brief dry periods they go out in search of food.",1.1K,170,0.4769346154928361,3.1,"Adventure,RPG,Indie,Platform",PC,2017
Persona 5,2016-09-15,1800.0,"Persona 5, a turn-based JRPG with visual novel elements, follows a high school student with a criminal record for a crime he didn't commit. Soon he meets several characters who share similar fates to him, and discovers a metaphysical realm which allows him and his friends to channel their pent-up frustrations into becoming a group of vigilantes reveling in aesthetics and rebellion while fighting corruption.",16K,630,1.0,8.6,"Adventure,RPG,Turn Based Strategy",PS3,2016
Sniper Elite 4,2017-02-13,184.0,"Sniper Elite 4 combines genre-defining ballistics, breathless emergent stealth, and gripping third person action across the largest and most diverse environments ever seen in a Sniper Elite game.


              Set in the aftermath of its award-winning predecessor, Sniper Elite 4 continues the series’ World War Two heritage by transporting players across the beautiful Italian peninsula, from sun-drenched Mediterranean coastal towns, to colossal Nazi mega structures, daunting forests and giddying mountain monasteries inspired by Monte Cassino.


              Covert agent and elite marksman Karl Fairburne must fight alongside the brave men and women of the Italian Resistance to help free their country from the yoke of Fascism, and defeat a terrifying new threat with the potential to halt the Allied fightback in Europe before it’s even begun.


              If his mission fails, there will be no Operation Overlord, no D-Day landings, and no Victory in Europe.",1.5K,40,0.2135181733593232,1.5,"Adventure,Shooter,Tactical",PC,2017
Resident Evil 7: Biohazard,2017-01-24,1800.0,"Resident Evil 7: Biohazard is the first game of the Resident Evil series to switch from 3rd-person to fully 1st-person perspective. A complete refresh of gameplay systems simultaneously propels the survival horror experience to another level. It is as much horror as it is survival, boosting up scare elements and minimizing downright shooting action. The game allows use of Sony's PSVR Headset to play in VR mode.",13K,326,1.0,7.9,"Adventure,Shooter",XONE,2017
Tales of Berseria,2016-08-18,555.0,"In Tales Of Berseria players embark on a journey as they assume the role of Velvet, a young woman whose once gentle nature has been replaced and overcome with a festering anger and hatred after a traumatic experience three years prior to the events within Tales Of Berseria imbued her left hand with a special ability. Along her journey, Velvet will meet a whole cast of characters, including a young boy named Laphicet. If Velvet is the embodiment of ""darkness,"" then Laphicet is created in the image of ""light"" and will be an important ally to Velvet.",3.3K,293,0.6440357946436108,4.6,RPG,PS4,2016
Yakuza 0,2015-03-12,2700.0,"The glitz, glamour, and unbridled decadence of the 80s are back! Yakuza 0 is a prequel set in 1988 to the Yakuza series, taking place before the first game. Fight like hell through Tokyo and Osaka with protagonist Kazuma Kiryu and series regular Goro Majima. Play as Kazuma Kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. Then, step into the silver-toed shoes of Goro Majima and explore his “normal” life as the proprietor of a cabaret club.",15K,1.8K,1.0,8.4,"Adventure,RPG,Brawler,Simulator",PS4,2015
Gravity Rush 2,2017-01-18,516.0,"Another mind-bending adventure awaits gravity queen Kat as a new danger emerges to threaten the fabric of the universe itself. Still searching for clues behind the mystery of her origin, and with the powerful Raven at her side, Kat must master three unique gravity attack styles as she takes on enemies and massive bosses.",2.1K,122,0.5987792252902759,5.0,"Adventure,Platform",PS4,2017
Shantae: Half-Genie Hero,2016-12-20,196.0,"Shantae embarks on her first full HD adventure! After three highly successful outings with Shantae, Shantae: Risky's Revenge, and Shantae and the Pirate's Curse, Shantae and her friends finally get a full HD console-based sequel! Boasting vivid, detailed high-definition graphics that retain the 2D hand-drawn sprites the series is known for, this newest entry in the Shantae series almost looks like a playable TV show! Presented as a stage-based 2.5D platformer with heavy exploration elements, Shantae uses her trademark Hair-Whip Attack to dispatch enemies, then takes advantage of her Belly Dance Magic to transform into 8 different forms that each have their own unique abilities and move sets. As new forms are mastered, old stages can be re-explored to unearth new items and secrets, ensuring there's plenty of content on offer for novices and platforming gurus alike. Topple the villainous Baron behind each criminal caper afflicting Sequin Land, and prepare for the ultimate showdown against Shantae's arch-nemesis: that bodacious buccaneer, Risky Boots!",1.5K,41,0.2274432716218877,1.7,"Adventure,Indie,Platform",PS4,2016
Killing Floor 2,2016-11-18,195.0,"In Killing Floor 2 players descend into Europe where the Zed outbreak has quickly spread and gained unstoppable momentum. Just one month after the conclusion of the events in the original Killing Floor, the clones are everywhere and civilization is in disarray; governments have collapsed, and military forces are gone.",2.8K,33,0.226282846766674,1.6,Shooter,PS4,2016
The Last Guardian,2016-12-06,658.0,"In a strange and mystical land, a young boy discovers a mysterious creature with which he forms a deep, unbreakable bond. The unlikely pair must rely on each other to journey through towering, treacherous ruins filled with unknown dangers. Experience the journey of a lifetime in this touching, emotional story of friendship and trust.",3.2K,83,0.7635595547306232,6.3,"Adventure,Platform,Puzzle",PS4,2016
Watch Dogs 2,2016-11-15,554.0,"Explore a massive and dynamic open world offering an incredible variety of gameplay possibilities. Hack your way through traffic while you engage in dangerous car chases through the winding streets of San Francisco, traverse the rooftops of the colorful and vibrant neighborhoods of Oakland, and infiltrate the cutting-edge offices of Silicon Valley companies. There are many secrets to uncover in the birthplace of the tech revolution.",6.6K,125,0.6428753697883971,4.7,"Adventure,Shooter",PS4,2016
Doom,2016-05-12,1800.0,"Developed by id software, the studio that pioneered the first-person shooter genre and created multiplayer Deathmatch, Doom returns as a brutally fun and challenging modern-day shooter experience. Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat – whether you’re obliterating demon hordes through the depths of Hell in the single-player campaign, or competing against your friends in numerous multiplayer modes. Expand your gameplay experience using Doom SnapMap game editor to easily create, play, and share your content with the world.",18K,541,1.0,7.5,Shooter,X360,2016
Doom,1993-12-10,1400.0,"In the future, humans have left Earth and settled throughout the galaxy. On Mars, the Union Aerospace Corporation has established a radioactive waste facility and allowed the military to conduct teleportation experiments on the nearby moons of Deimos and Phobos. Hours ago, the base on Mars began receiving incoherent distress messages from Phobos, while Deimos has disappeared completely. With all attempts to establish contact failing, you and your team have been dispatched to investigate. Upon arrival, you secure the perimeter as the rest of your team enters the facility. As you stand guard, your radio crackles with the sound of gunfire, cracking bones and blood-curdling screams and eventually falls silent. Alone, with no way off the planet or means to defend yourself other than your trusty pistol, there’s only one way out - into the complex of death and the horrors that await you within. If you plan to get out of here alive you must fend off the hordes of demonic imps, haunting spectres and your undead, former comrades waiting to tear you limb from limb. So, grab the nearest shotgun and blast your way out of this fragging madness!",11K,203,1.0,7.5,Shooter,X360,1993
Doom,2017-11-10,80.0,"Doom, the brutally fun and challenging modern-day shooter, can now be taken anywhere with Nintendo Switch! Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat – whether you’re obliterating demon hordes through the depths of Hell in the single-player campaign, or competing against your friends in numerous multiplayer modes. Doom for Nintendo Switch also includes all the game's multiplayer DLC and Arcade Mode.",2.3K,37,0.092833988417097,0.7,Shooter,X360,2017
Doom,2016-05-12,1800.0,"Developed by id software, the studio that pioneered the first-person shooter genre and created multiplayer Deathmatch, Doom returns as a brutally fun and challenging modern-day shooter experience. Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat – whether you’re obliterating demon hordes through the depths of Hell in the single-player campaign, or competing against your friends in numerous multiplayer modes. Expand your gameplay experience using Doom SnapMap game editor to easily create, play, and share your content with the world.",18K,541,1.0,8.0,Shooter,PC,2016
Doom,1993-12-10,1400.0,"In the future, humans have left Earth and settled throughout the galaxy. On Mars, the Union Aerospace Corporation has established a radioactive waste facility and allowed the military to conduct teleportation experiments on the nearby moons of Deimos and Phobos. Hours ago, the base on Mars began receiving incoherent distress messages from Phobos, while Deimos has disappeared completely. With all attempts to establish contact failing, you and your team have been dispatched to investigate. Upon arrival, you secure the perimeter as the rest of your team enters the facility. As you stand guard, your radio crackles with the sound of gunfire, cracking bones and blood-curdling screams and eventually falls silent. Alone, with no way off the planet or means to defend yourself other than your trusty pistol, there’s only one way out - into the complex of death and the horrors that await you within. If you plan to get out of here alive you must fend off the hordes of demonic imps, haunting spectres and your undead, former comrades waiting to tear you limb from limb. So, grab the nearest shotgun and blast your way out of this fragging madness!",11K,203,1.0,8.0,Shooter,PC,1993
Doom,2017-11-10,80.0,"Doom, the brutally fun and challenging modern-day shooter, can now be taken anywhere with Nintendo Switch! Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat – whether you’re obliterating demon hordes through the depths of Hell in the single-player campaign, or competing against your friends in numerous multiplayer modes. Doom for Nintendo Switch also includes all the game's multiplayer DLC and Arcade Mode.",2.3K,37,0.092833988417097,0.7,Shooter,PC,2017
Doom,2016-05-12,1800.0,"Developed by id software, the studio that pioneered the first-person shooter genre and created multiplayer Deathmatch, Doom returns as a brutally fun and challenging modern-day shooter experience. Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat – whether you’re obliterating demon hordes through the depths of Hell in the single-player campaign, or competing against your friends in numerous multiplayer modes. Expand your gameplay experience using Doom SnapMap game editor to easily create, play, and share your content with the world.",18K,541,1.0,5.5,Shooter,SAT,2016
Doom,1993-12-10,1400.0,"In the future, humans have left Earth and settled throughout the galaxy. On Mars, the Union Aerospace Corporation has established a radioactive waste facility and allowed the military to conduct teleportation experiments on the nearby moons of Deimos and Phobos. Hours ago, the base on Mars began receiving incoherent distress messages from Phobos, while Deimos has disappeared completely. With all attempts to establish contact failing, you and your team have been dispatched to investigate. Upon arrival, you secure the perimeter as the rest of your team enters the facility. As you stand guard, your radio crackles with the sound of gunfire, cracking bones and blood-curdling screams and eventually falls silent. Alone, with no way off the planet or means to defend yourself other than your trusty pistol, there’s only one way out - into the complex of death and the horrors that await you within. If you plan to get out of here alive you must fend off the hordes of demonic imps, haunting spectres and your undead, former comrades waiting to tear you limb from limb. So, grab the nearest shotgun and blast your way out of this fragging madness!",11K,203,1.0,5.5,Shooter,SAT,1993
Doom,2017-11-10,80.0,"Doom, the brutally fun and challenging modern-day shooter, can now be taken anywhere with Nintendo Switch! Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat – whether you’re obliterating demon hordes through the depths of Hell in the single-player campaign, or competing against your friends in numerous multiplayer modes. Doom for Nintendo Switch also includes all the game's multiplayer DLC and Arcade Mode.",2.3K,37,0.092833988417097,0.5,Shooter,SAT,2017
Doom,2016-05-12,1800.0,"Developed by id software, the studio that pioneered the first-person shooter genre and created multiplayer Deathmatch, Doom returns as a brutally fun and challenging modern-day shooter experience. Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat – whether you’re obliterating demon hordes through the depths of Hell in the single-player campaign, or competing against your friends in numerous multiplayer modes. Expand your gameplay experience using Doom SnapMap game editor to easily create, play, and share your content with the world.",18K,541,1.0,7.5,Shooter,GBA,2016
Doom,1993-12-10,1400.0,"In the future, humans have left Earth and settled throughout the galaxy. On Mars, the Union Aerospace Corporation has established a radioactive waste facility and allowed the military to conduct teleportation experiments on the nearby moons of Deimos and Phobos. Hours ago, the base on Mars began receiving incoherent distress messages from Phobos, while Deimos has disappeared completely. With all attempts to establish contact failing, you and your team have been dispatched to investigate. Upon arrival, you secure the perimeter as the rest of your team enters the facility. As you stand guard, your radio crackles with the sound of gunfire, cracking bones and blood-curdling screams and eventually falls silent. Alone, with no way off the planet or means to defend yourself other than your trusty pistol, there’s only one way out - into the complex of death and the horrors that await you within. If you plan to get out of here alive you must fend off the hordes of demonic imps, haunting spectres and your undead, former comrades waiting to tear you limb from limb. So, grab the nearest shotgun and blast your way out of this fragging madness!",11K,203,1.0,7.5,Shooter,GBA,1993
Doom,2017-11-10,80.0,"Doom, the brutally fun and challenging modern-day shooter, can now be taken anywhere with Nintendo Switch! Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat – whether you’re obliterating demon hordes through the depths of Hell in the single-player campaign, or competing against your friends in numerous multiplayer modes. Doom for Nintendo Switch also includes all the game's multiplayer DLC and Arcade Mode.",2.3K,37,0.092833988417097,0.7,Shooter,GBA,2017
